1	ఒకటి
2	రెండు
3	మూడు
4	నాలుగు
5	అయిదు
6	ఆరు
7	ఏడు
8	ఎనిమిది
9	తొమ్మిది
1	౧
2	౨
3	౩
4	౪
5	౫
6	౬
7	౭
8	౮
9	౯
